"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"2",".1uF","CAPACITOR-.1UF","0603","C1, C2","Capacitor","","C0603C104K5RACTU",".1uF",
"1","10uH","INDUCTOR-10UH","0603","L2","","","BLM18TG102TN1D","10uH",
"8","150Ω","RESISTOR-150Ω","0603","R2, R3, R4, R5, R6, R7, R8, R9","Resistor","","ERJ-3EKF1500V","150Ω",
"1","1KΩ","RESISTOR-1KΩ","0603","R1","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY48/88-TQFP","ATTINY48/88-TQFP","TQFP-32","U1","","","ATTINY48-AUR","",
"1","DEVICE-PCB-TABS","DEVICE-PCB-TABS","DEVICE-PCB-TABS","PCB1","Modulo Footprint","","Blank Slate PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP1","","","147733-3","",
"1","blue","LED-0805-BLUE","0805-LED","LED1","LED","","LTST-C171TBKT","blue",
