"Qty","Value","Device","Package","Parts","Description","BOM","NOBOM","PARTNUM","VALUE",
"1",".1uF","CAPACITOR-.1UF","0603","11-C1","Capacitor","","","C0603C104K5RACTU",".1uF",
"2","0Ω","RESISTOR-0Ω","0603","11-R8, 11-R9","Resistor","","","ERJ-3GEY0R00V","0Ω",
"1","1KΩ","RESISTOR-1KΩ","0603","11-R1","Resistor","","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY841","ATTINY841","SOIC-14","11-U3","","","","ATTINY841-SSUR","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","11-PCB1","Modulo Footprint","","1","Joystick PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","11-JP1","","","","147721-3","",
"1","JOYSTICK","JOYSTICK","JOYSTICK","11-JS1","Thumb Joystick","","","Joystick","",
"1","LED-1206-REV","LED-1206-REV","LED-1206-REV","11-LED1","LED","","","LTST-C230TBKT","",
