"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"2",".1uF","CAPACITOR-.1UF","0603","13-C1, 13-C2","Capacitor","","C0603C104K5RACTU",".1uF",
"1","10KΩ","RESISTOR-10KΩ","0603","13-R1","Resistor","","ERJ-3EKF1002V","10KΩ",
"1","1KΩ","RESISTOR-1KΩ","0603","13-R2","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY841","ATTINY841","SOIC-14","13-U2","","","ATTINY841-SSUR","",
"1","BOM_ITEM","BOM_ITEM","","13-HS1","","","F221B1/2 CL210","",
"1","BOM_ITEM","BOM_ITEM","","13-PCB1","","","Temp Probe PCB","",
"1","TEMP-PROBE","TEMP-PROBE","TEMP_PROBE","13-PROBE1","","","NTCLE413E2103F102L","",
"1","blue","LED-0805-BLUE","0805-LED","13-LED1","LED","","LTST-C171TBKT","blue",
