"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"1",".1uF","CAPACITOR-.1UF","0603","8-C1","Capacitor","","C0603C104K5RACTU",".1uF",
"2","0Ω","RESISTOR-0Ω","0603","8-R10, 8-R11","Resistor","","ERJ-3GEY0R00V","0Ω",
"8","150Ω","RESISTOR-150Ω","0603","8-R2, 8-R3, 8-R4, 8-R5, 8-R6, 8-R7, 8-R8, 8-R9","Resistor","","ERJ-3EKF1500V","150Ω",
"1","1KΩ","RESISTOR-1KΩ","0603","8-R1","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY841","ATTINY841","SOIC-14","8-U2","","","ATTINY841-SSUR","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","8-PCB1","Modulo Footprint","","Blank Slate PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","8-JP1","","","147721-3","",
"1","VREG-MIC5205-3.3V","VREG-MIC5205-3.3V","SOT23-5","8-U1","V_REG MIC5219","","MIC5205-3.3YM5 TR","",
"1","blue","LED-0805-BLUE","0805-LED","8-LED1","LED","","LTST-C171TBKT","blue",
