"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"1","","LED5MM","LED5MM","12-LED2","LEDs","","IR928-6C-F","",
"1",".1uF","CAPACITOR-.1UF","0603","12-C1","Capacitor","","C0603C104K5RACTU",".1uF",
"5","150Ω","RESISTOR-150Ω","0603","12-R2, 12-R3, 12-R4, 12-R5, 12-R6","Resistor","","ERJ-3EKF1500V","150Ω",
"1","1KΩ","RESISTOR-1KΩ","0603","12-R1","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY841","ATTINY841","SOIC-14","12-U3","","","ATTINY841-SSUR","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","12-PCB1","Modulo Footprint","","IRRemote PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","12-JP1","","","147721-3","",
"1","LED-1206-REV","LED-1206-REV","LED-1206-REV","12-LED1","LED","","LTST-C230TBKT","",
"1","PNA460XM","PNA460XM","PNA460XM","12-U1","IR 38KHz receiver","","TSOP38338","",
