RefDes,Layer,LocationX,LocationY,Rotation
3-X1,Top,0.713,3.487,270
4-C1,Bottom,2.656,3.350,180
4-C2,Top,2.125,3.538,270
4-C3,Top,2.125,3.394,270
4-C4,Bottom,2.656,3.425,180
4-C5,Top,2.600,2.962,0
4-C6,Bottom,2.669,2.887,180
4-C7,Top,2.488,3.544,270
4-C8,Bottom,2.656,3.200,180
4-C9,Bottom,2.656,3.275,180
4-D1,Top,2.375,2.975,270
4-D2,Bottom,2.287,3.068,270
4-D3,Bottom,2.160,3.065,270
4-D4,Bottom,2.025,3.063,270
4-D5,Bottom,1.825,3.063,270
4-D6,Bottom,1.686,3.231,90
4-D7,Bottom,1.694,3.069,270
4-F1,Top,1.925,3.675,0
4-F2,Top,2.719,3.112,0
4-F3,Bottom,1.925,3.700,0
4-F4,Bottom,2.525,2.700,0
4-JP1,Top,2.512,2.660,0
4-JP2,Bottom,2.200,3.425,0
4-L1,Bottom,2.656,3.500,0
4-LED1,Top,2.000,3.423,90
4-LED2,Top,2.000,3.550,90
4-R1,Bottom,1.750,3.425,0
4-R2,Bottom,1.750,3.550,180
4-R3,Bottom,2.225,3.063,270
4-R4,Bottom,2.098,3.063,270
4-R5,Bottom,1.963,3.063,270
4-R6,Bottom,1.900,3.063,270
4-R7,Bottom,1.751,3.237,270
4-R8,Bottom,1.756,3.063,270
4-R9,Bottom,1.912,3.425,180
4-R10,Bottom,1.912,3.550,180
4-SW1,Top,2.387,3.675,180
4-U1,Top,2.463,3.288,0
4-U2,Bottom,2.583,3.082,270
4-X1,Top,2.213,3.487,270
5-C1,Top,3.925,3.600,270
5-C2,Bottom,4.125,3.250,180
5-C3,Top,4.087,3.162,180
5-C4,Top,3.300,3.225,180
5-D1,Bottom,4.075,3.525,180
5-F1,Bottom,4.200,2.800,0
5-F2,Bottom,3.200,3.500,0
5-F3,Top,3.200,2.900,0
5-F4,Top,4.200,2.900,0
5-JP1,Bottom,3.700,3.425,0
5-LED1,Top,3.250,3.550,90
5-R1,Top,3.412,3.550,0
5-R2,Top,3.300,3.387,0
5-R3,Bottom,3.925,2.738,180
5-R4,Bottom,3.500,2.738,180
5-R12,Top,3.425,3.662,90
5-R13,Bottom,3.700,3.669,0
5-U2,Top,3.700,3.237,0
5-U3,Top,3.850,3.575,180
6-C1,Bottom,0.700,1.812,0
6-F1,Bottom,1.212,1.675,0
6-F2,Bottom,0.425,2.400,0
6-JP1,Bottom,0.700,2.125,0
6-LED1,Bottom,1.050,2.200,0
6-R1,Bottom,0.550,1.825,180
6-R2,Bottom,0.300,1.638,0
6-R3,Bottom,0.300,1.725,0
6-R4,Bottom,0.300,1.800,0
6-R5,Bottom,0.300,1.900,0
6-R6,Bottom,0.300,1.975,0
6-R7,Bottom,1.125,2.050,270
6-R8,Bottom,0.400,1.400,90
6-R9,Bottom,0.963,1.413,270
6-SW1,Top,0.700,1.900,90
6-U2,Bottom,0.725,1.675,270
7-C1,Bottom,2.200,1.812,0
7-F1,Bottom,2.712,1.675,0
7-F2,Bottom,1.925,2.400,0
7-JP1,Bottom,2.200,2.125,0
7-LED1,Bottom,2.550,2.200,0
7-R1,Bottom,2.050,1.825,180
7-R2,Bottom,1.800,1.638,0
7-R3,Bottom,1.800,1.725,0
7-R4,Bottom,1.800,1.800,0
7-R5,Bottom,1.800,1.900,0
7-R6,Bottom,1.800,1.975,0
7-R7,Bottom,2.625,2.050,270
7-R8,Bottom,1.900,1.400,90
7-R9,Bottom,2.463,1.413,270
7-SW1,Top,2.200,1.900,90
7-U2,Bottom,2.225,1.675,270
8-C1,Top,3.688,2.038,180
8-FID1,Top,4.238,1.537,90
8-FID2,Top,3.175,1.875,0
8-FID4,Bottom,4.225,1.900,0
8-FID5,Bottom,3.175,1.875,0
8-JP1,Bottom,3.700,2.125,0
8-LED1,Top,3.212,2.087,180
8-R1,Top,3.212,2.225,90
8-R2,Top,3.450,2.087,270
8-R3,Top,4.150,2.025,270
8-R4,Top,3.300,2.087,270
8-R5,Top,4.050,2.025,270
8-R6,Top,3.950,2.025,270
8-R7,Top,3.525,2.075,270
8-R8,Top,3.375,2.087,270
8-R9,Top,3.850,2.025,270
