"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"1",".1uF","CAPACITOR-.1UF","0603","C1","Capacitor","","C0603C104K5RACTU",".1uF",
"5","150Ω","RESISTOR-150Ω","0603","R2, R3, R4, R5, R6","Resistor","","ERJ-3EKF1500V","150Ω",
"2","1KΩ","RESISTOR-1KΩ","0603","R1, R7","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY48/88-TQFP","ATTINY48/88-TQFP","TQFP-32","U1","","","ATTINY48-AUR","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","PCB1","Modulo Footprint","","Knob PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP1","","","147733-3","",
"1","LED-1206-REV","LED-1206-REV","LED-1206-REV","LED1","LED","","LTST-C230TBKT","",
"1","TopUp EC12PLRGBSDVBF-D","ENCODER_RGB_CASIDEPADS","ENCODER_LED_3_SIDEPADS","SW1","Illuminated Rotary Encoder w/ RGB LED and select switch","","TopUp EC12PLRGBSDVBF-D","",
